epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,189.27,1.05728,1.96694,1.02122,1.16803,0.48118,0.44196,0.40391,0.22965,0.45759,0.44442,0.37687,0.17822,1.60461,2.9363,1.90183,1.57223,0.0009704,0.0009704,0.0009704
54,191.412,1.0691,2.03881,1.01685,1.16012,0.51629,0.41518,0.39945,0.21855,0.50022,0.41518,0.37046,0.17441,1.61197,2.99573,1.87769,1.55489,0.0009506,0.0009506,0.0009506
55,193.541,1.03976,2.02173,0.9821,1.13383,0.55393,0.4375,0.43343,0.25057,0.54884,0.41071,0.40909,0.20001,1.67984,3.06925,1.90976,1.59799,0.0009308,0.0009308,0.0009308
56,195.687,1.02463,1.97679,0.97223,1.14194,0.49919,0.37054,0.38827,0.24028,0.44841,0.39732,0.37882,0.1858,1.5365,3.02495,2.10676,1.51174,0.000911,0.000911,0.000911
57,197.819,1.00027,1.91211,0.9349,1.13427,0.48471,0.33929,0.36043,0.22636,0.473,0.32143,0.3248,0.16821,1.46494,2.9368,2.09635,1.45388,0.0008912,0.0008912,0.0008912
58,199.955,1.06418,2.02682,0.99771,1.15617,0.55524,0.40127,0.40648,0.24515,0.53428,0.38411,0.37099,0.17965,1.50971,3.00291,1.89269,1.49366,0.0008714,0.0008714,0.0008714
59,202.036,1.00635,1.88186,0.94125,1.14585,0.59023,0.41518,0.4397,0.26471,0.55498,0.39286,0.4052,0.20818,1.46191,2.9412,1.81586,1.4757,0.0008516,0.0008516,0.0008516
60,204.118,1.02457,2.05216,0.96522,1.13219,0.60539,0.38354,0.39669,0.223,0.5754,0.36607,0.36533,0.18012,1.50716,2.86024,1.94285,1.50735,0.0008318,0.0008318,0.0008318
61,206.157,1.01972,1.97819,0.95484,1.13498,0.61088,0.3995,0.42565,0.24442,0.57288,0.41518,0.40873,0.19934,1.53909,2.91807,1.85359,1.53004,0.000812,0.000812,0.000812
62,208.3,1.00966,1.90264,0.94886,1.14303,0.67943,0.3974,0.4386,0.26251,0.68093,0.40015,0.43588,0.21389,1.53691,2.85888,1.7996,1.5267,0.0007922,0.0007922,0.0007922
63,210.405,1.00733,1.97049,0.96134,1.13902,0.55455,0.37946,0.41315,0.25698,0.55466,0.38366,0.39943,0.20232,1.47136,2.92087,1.84681,1.47903,0.0007724,0.0007724,0.0007724
64,212.499,0.99389,1.94701,0.90454,1.11598,0.63354,0.36607,0.41183,0.25927,0.51041,0.41964,0.40113,0.19833,1.53969,2.87327,1.85405,1.52716,0.0007526,0.0007526,0.0007526
65,214.568,0.99574,1.95417,0.9321,1.12341,0.67323,0.37946,0.40469,0.24863,0.62397,0.35268,0.35716,0.1862,1.50422,2.91418,1.79948,1.52855,0.0007328,0.0007328,0.0007328
66,216.678,0.96322,1.88725,0.89703,1.10551,0.60853,0.38839,0.39939,0.24208,0.45626,0.4375,0.36522,0.17792,1.5256,2.95397,1.91078,1.555,0.000713,0.000713,0.000713
67,218.711,0.9536,1.90701,0.90617,1.10995,0.59184,0.36607,0.38847,0.2336,0.50016,0.37054,0.36014,0.17335,1.53433,3.04074,2.00843,1.5316,0.0006932,0.0006932,0.0006932
68,220.827,0.94148,1.85783,0.86144,1.09536,0.61989,0.41071,0.42127,0.24733,0.57051,0.41071,0.39504,0.19763,1.45728,2.96395,1.8652,1.4543,0.0006734,0.0006734,0.0006734
69,222.943,0.98774,1.89722,0.89875,1.10284,0.60882,0.42411,0.41189,0.24003,0.57625,0.40625,0.36922,0.19159,1.50204,2.94782,1.88819,1.47669,0.0006536,0.0006536,0.0006536
70,225.097,0.99404,1.92628,0.90896,1.12096,0.62227,0.40625,0.40402,0.25467,0.60283,0.40625,0.39293,0.19874,1.48519,2.93866,1.85817,1.46327,0.0006338,0.0006338,0.0006338
71,227.206,0.96729,1.89049,0.85974,1.09442,0.63244,0.38393,0.40722,0.261,0.52613,0.39654,0.37924,0.18681,1.56045,3.13563,1.98984,1.5318,0.000614,0.000614,0.000614
72,229.522,0.9618,1.86853,0.87433,1.09998,0.67318,0.37946,0.40538,0.25849,0.67934,0.37832,0.40168,0.20248,1.5456,2.87973,1.96165,1.55786,0.0005942,0.0005942,0.0005942
73,231.691,0.95826,1.86651,0.85831,1.10447,0.56513,0.41772,0.41106,0.25922,0.59471,0.41071,0.40898,0.20773,1.53841,2.87375,1.78889,1.5498,0.0005744,0.0005744,0.0005744
74,233.921,0.9569,1.84781,0.84132,1.12139,0.64511,0.38953,0.41924,0.26112,0.63032,0.3806,0.40919,0.20882,1.52581,2.85159,1.77993,1.56888,0.0005546,0.0005546,0.0005546
75,236.224,0.94637,1.88086,0.85754,1.09307,0.62541,0.38839,0.38925,0.23361,0.59629,0.36268,0.36481,0.19,1.54044,2.93031,1.90027,1.57342,0.0005348,0.0005348,0.0005348
76,238.571,0.95622,1.86707,0.84559,1.09681,0.6038,0.41071,0.42182,0.25094,0.62906,0.39286,0.40513,0.20456,1.50722,2.86223,1.77569,1.51414,0.000515,0.000515,0.000515
77,240.818,0.92936,1.87352,0.83955,1.07775,0.69352,0.39732,0.43298,0.26269,0.69601,0.41518,0.43016,0.21096,1.51545,2.89618,1.82938,1.51641,0.0004952,0.0004952,0.0004952
78,243.04,0.92033,1.78858,0.80347,1.0744,0.68432,0.37946,0.42544,0.26077,0.66094,0.36607,0.39449,0.20625,1.53551,2.94838,1.86747,1.52815,0.0004754,0.0004754,0.0004754
79,245.71,0.93008,1.85398,0.80811,1.09231,0.64155,0.34821,0.39011,0.24402,0.61516,0.34375,0.36832,0.19851,1.512,2.97409,1.94702,1.50255,0.0004556,0.0004556,0.0004556
80,247.958,0.94513,1.85801,0.82194,1.0865,0.72005,0.32589,0.39138,0.24517,0.58984,0.36607,0.38671,0.18957,1.48275,2.97566,1.94376,1.47745,0.0004358,0.0004358,0.0004358
81,250.128,0.92539,1.78601,0.82289,1.09334,0.63722,0.37054,0.41741,0.25978,0.63555,0.37054,0.40592,0.20317,1.47324,2.96154,1.85741,1.49424,0.000416,0.000416,0.000416
82,252.363,0.87983,1.73417,0.77658,1.0577,0.61534,0.41964,0.43996,0.26837,0.62189,0.42411,0.42921,0.21537,1.45556,2.86315,1.77587,1.46709,0.0003962,0.0003962,0.0003962
83,254.608,0.90376,1.76542,0.80038,1.07794,0.61339,0.39286,0.42463,0.26141,0.5916,0.40179,0.41795,0.20997,1.47928,2.81823,1.78244,1.4607,0.0003764,0.0003764,0.0003764
84,256.803,0.89092,1.80293,0.80094,1.05751,0.61488,0.37054,0.4139,0.25393,0.62057,0.38839,0.4151,0.20524,1.48089,2.80788,1.81085,1.47988,0.0003566,0.0003566,0.0003566
85,258.878,0.9126,1.81761,0.78992,1.08979,0.55305,0.41964,0.4287,0.25958,0.59146,0.40071,0.4213,0.20616,1.49734,2.8625,1.79206,1.49344,0.0003368,0.0003368,0.0003368
86,261.073,0.9045,1.73083,0.77326,1.05671,0.64133,0.38839,0.41824,0.24696,0.63309,0.38393,0.41026,0.19928,1.49422,2.90482,1.82184,1.51202,0.000317,0.000317,0.000317
87,263.25,0.90524,1.78964,0.83014,1.07553,0.6008,0.38969,0.41933,0.25279,0.62141,0.39732,0.41343,0.21206,1.48638,2.95055,1.79509,1.50051,0.0002972,0.0002972,0.0002972
88,265.391,0.88615,1.73635,0.79428,1.06317,0.57027,0.39694,0.39369,0.24732,0.57027,0.39694,0.3956,0.2044,1.45128,2.94981,1.88424,1.47008,0.0002774,0.0002774,0.0002774
89,267.553,0.87276,1.73746,0.76853,1.04099,0.56254,0.42411,0.40575,0.25492,0.55845,0.42411,0.40603,0.21468,1.47055,2.90851,1.82474,1.47519,0.0002576,0.0002576,0.0002576
90,269.679,0.86986,1.72981,0.76504,1.04666,0.55078,0.41518,0.4254,0.26309,0.59197,0.41451,0.42805,0.21853,1.4708,2.85393,1.78447,1.46338,0.0002378,0.0002378,0.0002378
91,273.632,0.95991,1.85754,1.07731,1.11437,0.53673,0.4375,0.42729,0.26619,0.60019,0.40179,0.4277,0.21501,1.44105,2.84466,1.75071,1.44782,0.000218,0.000218,0.000218
92,275.815,0.88704,1.76193,0.87538,1.07535,0.62286,0.34821,0.37884,0.23583,0.58979,0.375,0.37426,0.18877,1.45728,2.95154,1.89297,1.46003,0.0001982,0.0001982,0.0001982
93,278.014,0.87828,1.74937,0.81691,1.06086,0.52938,0.40173,0.38934,0.23982,0.52102,0.3982,0.37266,0.18945,1.51078,2.95964,1.87866,1.50811,0.0001784,0.0001784,0.0001784
94,280.23,0.86209,1.70585,0.7756,1.06064,0.67019,0.37195,0.4268,0.26587,0.67899,0.37772,0.42612,0.21245,1.47659,2.89299,1.82404,1.45534,0.0001586,0.0001586,0.0001586
95,282.426,0.86888,1.6875,0.74051,1.05983,0.66032,0.38839,0.43738,0.27093,0.68001,0.39286,0.44475,0.22083,1.45856,2.85769,1.80865,1.43928,0.0001388,0.0001388,0.0001388
96,284.653,0.85903,1.68957,0.74397,1.05293,0.57048,0.44643,0.44117,0.27558,0.61501,0.45089,0.45488,0.2263,1.4576,2.87764,1.80124,1.43202,0.000119,0.000119,0.000119
97,286.862,0.82178,1.64361,0.73044,1.03826,0.58221,0.4375,0.447,0.27881,0.61251,0.45982,0.46544,0.22706,1.45079,2.87795,1.77645,1.42222,9.92e-05,9.92e-05,9.92e-05
98,289.046,0.83987,1.6363,0.72461,1.02556,0.61562,0.42857,0.44353,0.27843,0.63438,0.45089,0.45812,0.22596,1.45786,2.88169,1.77907,1.4267,7.94e-05,7.94e-05,7.94e-05
99,291.441,0.81187,1.62639,0.72065,1.03158,0.57147,0.42864,0.44225,0.27951,0.58412,0.4375,0.44309,0.22411,1.43537,2.88647,1.77222,1.41262,5.96e-05,5.96e-05,5.96e-05
100,293.648,0.80868,1.65217,0.70483,1.03455,0.61797,0.41518,0.43789,0.27488,0.67585,0.42411,0.44526,0.22396,1.42766,2.88087,1.7695,1.39999,3.98e-05,3.98e-05,3.98e-05
