epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1176.38,0.767,1.55536,0.60236,0.99834,0.88148,0.8022,0.87681,0.70725,0.87201,0.79358,0.85839,0.54091,0.74935,1.5741,0.59325,0.91654,0.0006536,0.0006536,0.0006536
70,1192.87,0.77276,1.58699,0.6016,0.99741,0.89161,0.80029,0.8788,0.70881,0.88331,0.7903,0.85869,0.5406,0.74046,1.57705,0.58891,0.91337,0.0006338,0.0006338,0.0006338
71,1209.76,0.76113,1.54643,0.5929,0.9959,0.88538,0.79171,0.87499,0.70762,0.88249,0.784,0.85774,0.54275,0.7391,1.57961,0.59279,0.9153,0.000614,0.000614,0.000614
72,1226.67,0.75952,1.5479,0.58822,0.99607,0.89342,0.80697,0.87949,0.71162,0.89221,0.78888,0.86079,0.54056,0.73223,1.56727,0.59097,0.90855,0.0005942,0.0005942,0.0005942
73,1243.74,0.74864,1.54119,0.58791,0.99223,0.90894,0.78397,0.8766,0.70858,0.89477,0.7778,0.85792,0.53723,0.74339,1.56723,0.58564,0.91646,0.0005744,0.0005744,0.0005744
74,1260.48,0.76141,1.56767,0.59728,1.00089,0.88523,0.80795,0.87935,0.71101,0.89257,0.79358,0.85929,0.53812,0.73015,1.56957,0.57683,0.91221,0.0005546,0.0005546,0.0005546
75,1277.65,0.74687,1.5351,0.57641,0.99106,0.88407,0.8035,0.8812,0.71362,0.88133,0.79676,0.8631,0.54217,0.72524,1.56459,0.58762,0.90771,0.0005348,0.0005348,0.0005348
76,1294.63,0.75548,1.5807,0.58869,0.99571,0.89405,0.81561,0.8852,0.71916,0.89206,0.79956,0.86635,0.54661,0.71742,1.55012,0.5753,0.90439,0.000515,0.000515,0.000515
77,1311.52,0.74803,1.55114,0.58314,0.98855,0.88184,0.81497,0.88366,0.72145,0.88407,0.79981,0.86635,0.55117,0.71197,1.54256,0.5718,0.90051,0.0004952,0.0004952,0.0004952
78,1328.15,0.73853,1.53622,0.57747,0.98477,0.88096,0.81897,0.88527,0.72303,0.87536,0.80724,0.86568,0.54556,0.71269,1.55965,0.57683,0.89806,0.0004754,0.0004754,0.0004754
